Pagina_PDF,Empresa,Dominio,Categoria_AMPES,Clasificacion_Estrategica,Hace_Algo_Similar_a_PayMind,Propuesta_de_Valor_Extraida,Detalle_Quioscos_o_Cobro,Clientes_Casos_de_Exito
7,Gilbarco Veeder-Root,gilbarco.com/mx,Equipamiento de Estaciones,⚔️ Competidor Directo / Aliado Hardware,"SÍ: Ofrece quioscos, cobro desatendido en bomba o TPVs de autoatención",Proveedor registrado en página 7 de AMPES (Equipamiento de Estaciones),Sin oferta de quioscos en sitio web,Consultado en sitio web
7,Grupo Importador Avios,grupoavios.com.mx,Equipamiento de Estaciones,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción",Grupo importador Avios – Grupo importador Avios,Sin oferta de quioscos en sitio web,"Grupo Importador, Grupo importador"
7,Grupo Sol Rey,solrey.com,Equipamiento de Estaciones,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción","Grupo Solrey ofrece equipo, refacciones y servicios técnicos para estaciones de servicio en México con más de 40 años de experiencia.",Sin oferta de quioscos en sitio web,"Grupo Solrey, gasolineras 






Nuestros, rendimiento"
7,Hockman Lewis Ltd,hockman-lewisltd.com,Equipamiento de Estaciones,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción","[et_pb_section fb_built=""1"" _builder_version=""4.17.3"" _module_preset=""default"" custom_margin=""-33px||-79px||false|false""",Sin oferta de quioscos en sitio web,Consultado en sitio web
7,Imagen Maldonado,imagenmaldonado.com.mx,Equipamiento de Estaciones,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción","Preciadores Electrónicos PWM®, Pistolas, Destorcedores, Registros, Valvulas, OPW® Luminarias LSI®, Dispensarios WAYNE® Helix, Nueva Imagen PEMEX® Consolas de Monitoreo INTEGRA NANO®, Conexiones, Contenedores, Tuberia FLEXWORKS® Mangueras CONTINENTAL® Envíos a todo México.",Sin oferta de quioscos en sitio web,Gasolinera Techumbre
7,Luqross,luqrosstecnologia.com,Equipamiento de Estaciones,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción",Proveedor registrado en página 7 de AMPES (Equipamiento de Estaciones),Sin oferta de quioscos en sitio web,Consultado en sitio web
7,MAOSA Combustibles,maosa.com.mx,Equipamiento de Estaciones,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción",Avo - Onepage Multi-Purpose HTML5 Template,Sin oferta de quioscos en sitio web,rendimiento
7,Petrogas,petrogas.com.mx,Equipamiento de Estaciones,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción","Nosotros    

Sucursales Petrogas 
MONTERREY:
Teléfono: 81 8305 0800
Dirección: Av. Rómulo Garza #212 Col. Hacienda Los Morales San Nicolás de los Garza, Nuevo León C.P. 66495
 
CABORCA:
Teléfono: 637 116 0270 | Servicios 

Ofrecemos una amplia variedad de servicios para Estaciones de Servicio y manejamos todo el equipo necesario para medición y transferencia de combustible.    
Construcción Visitar página  
Equipamiento Visitar Página  
Mantenimiento Visitar Página  
Industria Visitar Página",Sin oferta de quioscos en sitio web,Consultado en sitio web
7,SIME,grupo-sime.com,Equipamiento de Estaciones,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción","SIME líder en el mantenimiento y servicio a estaciones de gasolina, así como somos proveedores de las mejores marcas y productos del ramo con los mejores precios del mercado.",Sin oferta de quioscos en sitio web,"gasolinera tenga, Grupo Sime"
8,Brisco Uniformes,briscoindustrial.com,Servicios Operativos y Suministros,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción","Tienda de uniformes industriales, corporativos, gasolineros, tácticos y calzado de seguridad. Somos fabricantes, ofrecemos precios de mayoreo y envíos a nivel nacional.",Sin oferta de quioscos en sitio web,"Gasolinera pemex, GASOMAX, Gasolineras

INDUSTRIAL, rendimiento, G500"
8,Consorcio DCP Ingenie,consorciodcp.com,Servicios Operativos y Suministros,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción",consorcio DCP | Ingeniería,Sin oferta de quioscos en sitio web,Consultado en sitio web
8,EGAS,egas.com.mx,Seguridad y Logística Operativa,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),Productos - eGas | eGas,Sin oferta de quioscos en sitio web,"rendiendo, grupo de"
8,Ecoquiher,ecoquiher.mx,Servicios Operativos y Suministros,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción","En ECOQUIHER ofrecemos integridad mecánica, pruebas de hermeticidad y lavado de tanques para estaciones de servicio.",Sin oferta de quioscos en sitio web,rendimiento
8,Eservices,eservicesmx.com,Servicios Operativos y Suministros,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción",EservicesMX,Sin oferta de quioscos en sitio web,Consultado en sitio web
8,Interlogic,interlogicglobal.com,Seguridad y Logística Operativa,⚔️ Competidor Directo / Aliado Hardware,"SÍ: Ofrece quioscos, cobro desatendido en bomba o TPVs de autoatención",interlogic,Sin oferta de quioscos en sitio web,Consultado en sitio web
8,Legos Limpiezas,legoslimpiezadetanques.com,Servicios Operativos y Suministros,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción",Empresa con más de 30 años de experiencia en el sector gasolinero brindando servicios de limpieza y reparación de tanques de almacenamiento de combustible,Sin oferta de quioscos en sitio web,gasolinera lo
8,Noxtrol Blue,noxtrolblue.com.mx,Servicios Operativos y Suministros,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción","En Noxtrol Blue, fabricamos y distribuimos urea grado automotriz.",Sin oferta de quioscos en sitio web,"grupo EES, rendimiento"
8,SNE (Sistemas Neumáticos),sne.com.mx,Seguridad y Logística Operativa,⚔️ Competidor Directo / Aliado Hardware,"SÍ: Ofrece quioscos, cobro desatendido en bomba o TPVs de autoatención","Lleva tus operaciones al siguiente nivel con tecnología que automatiza, protege y agiliza tus procesos internos. | En SNE diseñamos e implementamos soluciones de transporte neumático interno que optimizan la operación de hospitales, bancos, gasolineras y tiendas en todo el país.",Sin oferta de quioscos en sitio web,Consultado en sitio web
8,Seprocesa,seprocesa.com,Seguridad y Logística Operativa,⚔️ Competidor Directo / Aliado Hardware,"SÍ: Ofrece quioscos, cobro desatendido en bomba o TPVs de autoatención",Soluciones – Seprocesa | Seprocesa,"Quiosco de pago inteligente Cashier con reconocimiento facial para billetes, monedas, tarjetas de crédito y pago móvil | Quiosco de pago inteligente Cashier con reconocimiento facial para billetes, monedas, tarjetas de crédito y pago móvil




				Añadir a la cotización	


Este producto ya está en la lista de solicitud de presupuesto.
Ver la lista de cotización",Consultado en sitio web
8,Teggra,teggra.com.mx,Servicios Operativos y Suministros,⚪ No Aplica / Proveedor de Hardware Físico,"NO: Fabricación de tanques, tuberías, uniformes o construcción","Inicio » Teggra Entreprise S.A. de C.V. | Fabricante de Máquinas Vending de Papel, Toallas, Condones y más.",Sin oferta de quioscos en sitio web,Consultado en sitio web
9,AIE México,aiemexico.com.mx,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),Aplicaciones de Ingeniería Electrónica – …Fundada en 1996,Sin oferta de quioscos en sitio web,Consultado en sitio web
9,ATIO Group (ControlGAS),atiogroup.com.mx,Tecnología y Automatización,⚔️ Competidor Directo / Aliado Hardware,"SÍ: Ofrece quioscos, cobro desatendido en bomba o TPVs de autoatención",Somos el corporativo empresarial líder de tecnología para la automatización y control del suministro del combustible.,Sin oferta de quioscos en sitio web,Consultado en sitio web
9,Alvic,alvic.net,Tecnología y Automatización,⚔️ Competidor Directo / Aliado Hardware,"SÍ: Ofrece quioscos, cobro desatendido en bomba o TPVs de autoatención","Automatización y digitalización, soporte 24/7 y soluciones tecnológicas para estaciones de servicio, distribución, flotas y nuevas energías. | Productos para estaciones de servicio.",Sin oferta de quioscos en sitio web,Consultado en sitio web
9,Avalon Software LATAM,avalonsoftware.com,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),| Avalon,Sin oferta de quioscos en sitio web,Grupo Farruco
9,Brentec,brentec.mx,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),"Productos | Brentec Soluciones Tecnologicas | Tecnología de vanguardia para tu administración, operación y acercamiento a los clientes finales en la Industria energética (CONTROL VOLUMETRICO)",Sin oferta de quioscos en sitio web,"Gasolineras


























 InicioProductosPreciosComun, grupo de"
9,Cisneros Group (Cistem),cisnerosgroup.com.mx,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),Nostros – Grupo Cisneros | Grupo Cisneros,Sin oferta de quioscos en sitio web,"Grupo Cisneros, grupo de, grupo integra"
9,Cistem,cistem.com.mx,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),Cistem – Soluciones en sistemas,Sin oferta de quioscos en sitio web,"Grupo Cisneros, grupo gasolinero"
9,Falcon SIAP,falconsiap.com.mx,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),"Falcon SIAP un Software para gasolineras con SASISOPA, SGM, bitácoras ASEA y capacitación. Cumplir con la normativa nunca fue tan fácil.",Sin oferta de quioscos en sitio web,"Gasolineras en, gasolineras son"
9,Fuel Soft / Enercon,enercon.mx,Tecnología y Automatización,⚔️ Competidor Directo / Aliado Hardware,"SÍ: Ofrece quioscos, cobro desatendido en bomba o TPVs de autoatención","Opera tu estaciÃ³n de servicio mÃ¡s rÃ¡pido, mÃ¡s eficiente y Â¡haz feliz a todos tus clientes!","ENERPAY App para autocobro de tus clientes. | ENERPAY REWARDS: Crea fidelidad con tus clientes, con
								descuentos y promociones.",rendizaje
9,Gas Manager,gasmanager.com,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),Soluciones - Gas Manager | Nosotros - Gas Manager,Sin oferta de quioscos en sitio web,"Gasolinera   




Gestione, gasolinera de, GRUPO GAS, rendimiento"
9,Grupo Cadisa,cadisaenlinea.com.mx,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),Proveedor registrado en página 9 de AMPES (Tecnología y Automatización),Sin oferta de quioscos en sitio web,Consultado en sitio web
9,KernoTek,kernotek.mx,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),"+ de 20 años de experiencia nos respaldan Innovamos para hacer tu operación más eficiente Desarrollamos aplicaciones, productos y servicios que mejoran y | Software de control volumétrico para gasolineras, facturación, flotillas, gestión comercial y administrativa de tu estación de servicio.",Sin oferta de quioscos en sitio web,Consultado en sitio web
9,Nexus Fuel,nexusfuel.com,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),Nexus Fuel | Solución integral de software para grupos gasolineros - Nexus Fuel | Nosotros - Nexus Fuel,Sin oferta de quioscos en sitio web,"rendimiento, grupo de, grupo gasolinero"
9,PRE Software,grupopre.ai,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),PRE - Soluciones con inteligencia artificial para estaciones de servicio.,Sin oferta de quioscos en sitio web,Consultado en sitio web
9,Petrotech,petrotech.com.mx,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),"Refacciones originales para dispensarios, tanques, consolas y sistemas. Marcas líderes. Agrega productos al cotizador y recibe atención inmediata. | Somos una empresa fuerte que te hace fuerte con equipos para gasolineras.",Sin oferta de quioscos en sitio web,"Gasolineras






Soluciones, gasolinera




Conoce, gasolineras

 Con, gasolinera
Nosotros, gasolineras completas, gasolineras en"
9,Polaris Control Volumétrico,ecsmexico.com,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),Polaris Website – home polaris escmexico | Productos – Polaris Website,Sin oferta de quioscos en sitio web,"Gasolinera			

				Autoconsumo, Gasolinera 





 



Autoconsumo, Gasolinera
Otros"
9,iGAS,igas.mx,Tecnología y Automatización,🤝 Aliado Potencial (Canal POS / Software),NO quioscos propios: Ofrece POS / Control Volumétrico (PayMind integra adquirencia),Sistema modular capaz de integrar la operación de su gasolinera para un estricto control y calidad en el servicio. | Conózca nuestra gama de productos i-Gas.,Sin oferta de quioscos en sitio web,"gasolinera para, gasolinera desde"
